node_name,x,y,width,height,depth,has_text,id,k,object_id
body,0,0,1920,832,1,1,1,1,1
div,0,0,1920,832,2,1,27,1,2
div,485,0,950,832,3,1,28,1,3
div,485,0,950,832,4,1,29,1,4
div,485,0,950,95,5,1,30,1,5
div,485,0,950,88,6,1,31,1,6
div,485,0,950,88,7,1,32,1,7
div,485,0,950,88,8,1,33,1,8
div,485,95,950,683,5,1,34,1,9
div,485,95,950,683,6,1,35,1,10
div,485,132,950,646,7,1,36,1,11
div,485,140,950,638,8,1,37,1,12
div,497,140,926,638,9,1,38,1,13
div,497,183,926,18,10,1,39,1,14
div,497,202,926,575,10,1,40,1,15
div,497,202,925,575,11,1,41,1,16
div,497,202,925,563,12,1,42,1,17
div,497,202,654,563,13,1,43,1,18
div,497,207,654,558,14,1,44,1,19
div,496,207,656,559,15,1,45,1,20
div,497,213,654,541,16,1,46,1,21
div,497,213,654,541,17,1,47,1,22
div,497,213,654,127,18,1,48,1,23
div,497,213,654,127,19,1,49,1,24
div,496,213,656,127,20,1,50,1,25
div,497,214,180,125,21,1,51,1,26
div,497,214,180,125,22,1,52,1,27
div,497,214,654,125,21,1,53,1,28
div,497,214,654,125,22,1,54,1,29
div,689,244,462,79,23,1,55,1,30
div,689,244,462,79,24,1,56,1,31
div,689,254,462,64,25,1,57,1,32
div,497,351,654,127,18,1,58,1,33
div,497,351,654,127,19,1,59,1,34
div,496,351,656,127,20,1,60,1,35
div,497,352,180,125,21,1,61,1,36
div,497,352,180,125,22,1,62,1,37
div,497,352,654,125,21,1,63,1,38
div,497,352,654,125,22,1,64,1,39
div,689,382,462,47,23,1,65,1,40
div,689,382,462,47,24,1,66,1,41
div,689,392,462,32,25,1,67,1,42
div,497,489,654,127,18,1,68,1,43
div,497,489,654,127,19,1,69,1,44
div,496,489,656,127,20,1,70,1,45
div,497,490,180,125,21,1,71,1,46
div,497,490,180,125,22,1,72,1,47
div,497,490,654,125,21,1,73,1,48
div,497,490,654,125,22,1,74,1,49
div,689,520,462,47,23,1,75,1,50
div,689,520,462,47,24,1,76,1,51
div,689,530,462,32,25,1,77,1,52
div,497,627,654,127,18,1,78,1,53
div,497,627,654,127,19,1,79,1,54
div,496,627,656,127,20,1,80,1,55
div,497,628,180,125,21,1,81,1,56
div,497,628,180,125,22,1,82,1,57
div,497,628,654,125,21,1,83,1,58
div,497,628,654,125,22,1,84,1,59
div,689,658,462,47,23,1,85,1,60
div,689,658,462,47,24,1,86,1,61
div,689,668,462,32,25,1,87,1,62
div,1175,202,248,524,11,1,88,1,63
div,1175,202,248,524,12,1,89,1,64
div,1175,226,248,464,13,1,90,1,65
div,1175,226,248,142,14,1,91,1,66
div,1175,386,248,304,14,1,92,1,67
div,485,95,950,27,7,1,93,1,68
div,485,95,950,27,8,1,94,1,69
div,485,95,836,27,9,1,95,1,70
div,485,95,836,27,10,1,96,1,71
div,485,95,836,27,11,1,97,1,72
div,1312,95,123,27,9,1,98,1,73
div,485,778,950,55,5,1,101,1,74
div,485,789,950,32,6,1,102,1,75
div,496,789,927,32,7,1,103,1,76
div,495,788,285,34,8,1,104,1,77
div,501,789,278,32,9,1,105,1,78
div,501,789,278,32,10,1,106,1,79
div,779,789,482,19,8,1,107,1,80
div,779,789,482,19,9,1,108,1,81
div,1137,2,291,28,8,1,109,1,82
div,1137,2,291,28,9,1,110,1,83
div,1172,36,260,32,9,1,112,1,84
div,1172,36,260,32,10,1,113,1,85
a,497,11,430,66,10,1,2,1,86
a,498,183,35,16,11,1,3,1,87
a,497,214,178,125,23,1,4,1,88
a,689,221,130,21,24,1,5,1,89
a,497,352,178,125,23,1,6,1,90
a,689,359,213,21,24,1,7,1,91
a,497,490,178,125,23,1,8,1,92
a,689,497,153,21,24,1,9,1,93
a,497,628,178,125,23,1,10,1,94
a,689,635,257,21,24,1,11,1,95
a,1222,265,102,14,17,1,12,1,96
a,1222,287,74,14,17,1,13,1,97
a,1222,309,113,14,17,1,14,1,98
a,1222,331,158,14,17,1,15,1,99
a,1222,353,169,14,17,1,16,1,100
a,485,95,70,26,15,1,17,1,101
a,588,95,104,26,15,1,22,1,102
a,728,95,98,26,15,1,27,1,103
a,871,95,90,26,15,1,32,1,104
a,1010,95,92,26,15,1,36,1,105
a,1145,95,126,26,15,1,43,1,106
a,501,806,132,14,11,1,74,1,107
a,805,795,48,14,13,1,75,1,108
a,873,795,59,14,13,1,76,1,109
a,952,795,69,14,13,1,77,1,110
a,1041,795,42,14,13,1,78,1,111
a,1103,796,12,12,13,1,79,1,112
a,1135,795,101,14,13,1,80,1,113
a,1137,2,47,22,14,1,81,1,114
a,1192,2,78,22,14,1,86,1,115
a,1278,2,74,22,14,1,103,1,116
a,1360,2,68,28,14,1,110,1,117
a,1299,794,19,18,10,1,111,1,118
a,1323,794,17,18,10,1,112,1,119
a,1345,794,17,18,10,1,113,1,120
a,1367,794,45,18,10,1,114,1,121
strong,497,11,430,66,9,1,1,1,122
span,689,255,443,62,27,1,2,1,123
span,1181,611,238,46,19,1,3,1,124
span,485,101,70,15,14,1,4,1,125
span,588,101,104,15,14,1,9,1,126
span,728,101,98,15,14,1,14,1,127
span,871,101,90,15,14,1,19,1,128
span,1010,101,92,15,14,1,23,1,129
span,1145,101,126,15,14,1,30,1,130
span,805,796,48,11,12,1,61,1,131
span,873,796,59,11,12,1,62,1,132
span,952,796,69,11,12,1,63,1,133
span,1041,796,42,11,12,1,64,1,134
span,1103,796,12,12,12,1,65,1,135
span,1135,796,101,11,12,1,66,1,136
span,1137,2,55,22,13,1,67,1,137
span,1192,2,86,22,13,1,72,1,138
span,1278,2,82,22,13,1,89,1,139
span,1360,2,68,28,13,1,96,1,140
h1,497,140,926,43,10,1,1,1,141
img,497,214,178,125,24,0,1,1,142
img,497,352,178,125,24,0,2,1,143
img,497,490,178,125,24,0,3,1,144
img,497,628,178,125,24,0,4,1,145
h2,689,220,462,24,23,1,1,1,146
h2,689,358,462,24,23,1,2,1,147
h2,689,496,462,24,23,1,3,1,148
h2,689,634,462,24,23,1,4,1,149
h2,1175,226,248,23,15,1,5,1,150
h2,1175,386,248,23,15,1,6,1,151
h2,1312,95,123,26,10,1,7,1,152
p,689,254,450,64,26,1,1,1,153
p,689,392,450,32,26,1,2,1,154
p,689,530,450,32,26,1,3,1,155
p,689,668,450,32,26,1,4,1,156
p,1175,674,248,16,15,1,5,1,157
ul,1177,246,244,122,15,1,1,1,158
ul,485,95,836,27,12,1,2,1,159
ul,805,789,431,19,10,1,14,1,160
ul,1299,794,124,18,8,1,19,1,161
li,1177,264,244,16,16,1,1,1,162
li,1177,286,244,16,16,1,2,1,163
li,1177,308,244,16,16,1,3,1,164
li,1177,330,244,16,16,1,4,1,165
li,1177,352,244,16,16,1,5,1,166
li,485,95,103,26,13,1,6,1,167
li,588,95,140,26,13,1,11,1,168
li,728,95,144,26,13,1,16,1,169
li,871,95,139,26,13,1,21,1,170
li,1010,95,135,26,13,1,25,1,171
li,1145,95,155,26,13,1,32,1,172
li,805,796,58,11,11,1,63,1,173
li,863,796,79,11,11,1,64,1,174
li,942,796,89,11,11,1,65,1,175
li,1031,796,62,11,11,1,66,1,176
li,1093,796,32,12,11,1,67,1,177
li,1125,796,111,11,11,1,68,1,178
li,1137,2,55,22,12,1,69,1,179
li,1192,2,86,22,12,1,74,1,180
li,1278,2,82,22,12,1,91,1,181
li,1360,2,68,28,12,1,98,1,182
li,1299,794,24,18,9,1,99,1,183
li,1323,794,22,18,9,1,100,1,184
li,1345,794,22,18,9,1,101,1,185
li,1367,794,45,18,9,1,102,1,186
table,1175,419,251,243,15,1,1,1,187
tbody,1175,419,251,243,16,1,1,1,188
tr,1175,419,251,188,17,0,1,1,189
tr,1175,607,251,55,17,0,2,1,190
td,1175,419,251,188,18,0,1,1,191
td,1175,607,251,55,18,0,2,1,192
iframe,1175,419,251,188,19,0,1,1,193
em,1403,101,16,15,11,1,1,1,194
form,1172,36,260,32,8,1,1,1,195
input,1172,36,260,26,11,0,5,1,196
button,1407,40,13,13,11,1,1,1,197
