node_name,x,y,width,height,depth,has_text,id,k,object_id
body,0,0,1903,3740,1,1,1,1,1
div,0,0,1903,3740,2,1,27,1,2
div,477,0,950,3740,3,1,28,1,3
div,477,0,950,3740,4,1,29,1,4
div,477,0,950,95,5,1,30,1,5
div,477,0,950,88,6,1,31,1,6
div,477,0,950,88,7,1,32,1,7
div,477,0,950,88,8,1,33,1,8
div,477,95,950,3591,5,1,34,1,9
div,477,95,950,3591,6,1,35,1,10
div,477,132,950,3554,7,1,36,1,11
div,477,140,950,3546,8,1,37,1,12
div,489,140,926,3546,9,1,38,1,13
div,489,183,926,18,10,1,39,1,14
div,489,202,926,3483,10,1,40,1,15
div,489,202,925,3483,11,1,41,1,16
div,489,202,925,3471,12,1,42,1,17
div,489,202,654,3471,13,1,43,1,18
div,489,207,654,3466,14,1,44,1,19
div,488,207,656,3467,15,1,45,1,20
div,489,220,654,3441,16,1,46,1,21
div,501,1381,295,192,25,1,47,1,22
div,1167,202,248,412,11,1,48,1,23
div,1167,202,248,412,12,1,49,1,24
div,1167,226,248,352,13,1,50,1,25
div,1167,226,248,219,14,1,51,1,26
div,1167,463,248,115,14,1,52,1,27
div,477,95,950,27,7,1,53,1,28
div,477,95,950,27,8,1,54,1,29
div,477,95,836,27,9,1,55,1,30
div,477,95,836,27,10,1,56,1,31
div,477,95,836,27,11,1,57,1,32
div,1303,95,123,27,9,1,58,1,33
div,477,3686,950,55,5,1,61,1,34
div,477,3697,950,32,6,1,62,1,35
div,488,3697,927,32,7,1,63,1,36
div,487,3696,285,34,8,1,64,1,37
div,492,3697,278,32,9,1,65,1,38
div,492,3697,278,32,10,1,66,1,39
div,771,3697,482,19,8,1,67,1,40
div,771,3697,482,19,9,1,68,1,41
div,1129,2,291,28,8,1,69,1,42
div,1129,2,291,28,9,1,70,1,43
div,1164,36,260,32,9,1,72,1,44
div,1164,36,260,32,10,1,73,1,45
a,489,11,430,66,10,1,2,1,46
a,490,183,35,16,11,1,3,1,47
a,538,183,39,16,11,1,4,1,48
a,501,255,125,170,25,1,5,1,49
a,636,256,119,19,26,1,6,1,50
a,636,317,75,13,27,1,7,1,51
a,970,256,147,19,26,1,8,1,52
a,1069,349,57,13,27,1,9,1,53
a,636,606,107,19,26,1,10,1,54
a,636,683,68,13,27,1,11,1,55
a,970,606,110,19,26,1,12,1,56
a,970,683,70,13,27,1,13,1,57
a,970,731,115,13,27,1,14,1,58
a,970,747,158,29,27,1,15,1,59
a,636,955,99,19,27,1,16,1,60
a,636,1097,122,29,27,1,17,1,61
a,501,1145,174,13,27,1,18,1,62
a,601,1161,151,13,27,1,19,1,63
a,501,1177,126,13,27,1,20,1,64
a,672,1177,86,13,27,1,21,1,65
a,970,955,127,19,27,1,23,1,66
a,970,1032,66,13,26,1,24,1,67
a,1035,1047,47,13,26,1,25,1,68
a,835,1135,253,28,26,1,26,1,69
a,835,1149,280,28,26,1,27,1,70
a,636,1289,109,19,27,1,29,1,71
a,636,1382,70,13,27,1,30,1,72
a,636,1398,147,29,27,1,31,1,73
a,970,1289,85,19,27,1,32,1,74
a,970,1350,66,13,26,1,33,1,75
a,970,1366,120,29,26,1,34,1,76
a,636,1611,112,19,26,1,35,1,77
a,636,1688,72,13,27,1,36,1,78
a,636,1720,77,13,27,1,37,1,79
a,970,1611,102,19,26,1,38,1,80
a,970,1672,65,13,27,1,39,1,81
a,636,1913,129,19,26,1,40,1,82
a,636,1990,52,13,27,1,41,1,83
a,661,2134,111,13,27,1,42,1,84
a,501,2150,91,13,27,1,43,1,85
a,598,2150,92,13,27,1,44,1,86
a,970,1913,103,19,26,1,45,1,87
a,970,1990,66,13,26,1,46,1,88
a,1035,2019,36,13,26,1,47,1,89
a,636,2372,77,13,27,1,49,1,90
a,636,2404,152,29,27,1,50,1,91
a,568,2500,127,13,27,1,51,1,92
a,970,2279,122,19,26,1,52,1,93
a,970,2388,136,45,27,1,53,1,94
a,636,2645,121,19,27,1,55,1,95
a,636,2722,79,13,27,1,56,1,96
a,971,2645,158,19,27,1,59,1,97
a,971,2722,103,13,27,1,60,1,98
a,835,2834,271,29,27,1,61,1,99
a,636,3103,66,13,26,1,63,1,100
a,669,3167,88,13,26,1,64,1,101
a,970,3009,92,19,27,1,66,1,102
a,1029,3085,76,13,27,1,67,1,103
a,636,3375,103,19,27,1,69,1,104
a,636,3452,150,28,27,1,70,1,105
a,615,3584,89,13,27,1,71,1,106
a,606,3599,127,13,27,1,72,1,107
a,1167,334,98,14,16,1,74,1,108
a,1167,464,177,21,16,1,75,1,109
a,1191,499,39,14,16,1,76,1,110
