node_name,x,y,width,height,depth,has_text,id,k,object_id
body,0,0,1903,17472,1,1,1,1,1
div,452,0,1000,136,3,1,11,1,2
div,1230,14,62,36,8,1,15,1,3
div,1230,23,62,18,9,1,16,1,4
div,1230,23,61,18,10,1,17,1,5
div,452,59,1000,71,4,1,18,1,6
div,452,59,347,89,5,1,19,1,7
div,1403,91,11,34,7,1,22,1,8
div,1436,91,16,34,5,1,25,1,9
div,1436,91,16,34,6,1,26,1,10
div,1436,99,16,16,7,1,27,1,11
div,0,166,1903,120,2,1,33,1,12
div,452,166,1000,120,3,1,34,1,13
div,452,166,1000,120,4,1,35,1,14
div,452,166,1000,90,5,1,36,1,15
div,0,316,1903,17024,2,1,38,1,16
div,452,316,1000,17024,3,1,39,1,17
div,452,316,1000,144,4,1,40,1,18
div,452,411,1000,16,5,1,41,1,19
div,452,460,1000,16880,4,1,42,1,20
div,452,496,96,192,6,1,43,1,21
div,452,496,96,192,7,1,44,1,22
div,452,499,96,54,8,1,45,1,23
div,452,519,96,15,9,1,46,1,24
div,452,540,96,13,9,1,47,1,25
div,452,583,96,95,8,1,48,1,26
div,452,583,96,95,9,1,49,1,27
div,452,583,96,25,10,1,50,1,28
div,452,618,96,25,10,1,51,1,29
div,452,653,96,25,10,1,52,1,30
div,576,496,540,16844,6,1,53,1,31
div,576,501,540,12452,7,1,54,1,32
div,576,12977,540,3654,7,1,55,1,33
div,576,13013,540,3618,8,1,56,1,34
div,586,13037,520,83,11,1,57,1,35
div,586,13037,34,16,12,1,58,1,36
div,586,13037,520,15,12,1,59,1,37
div,586,13106,520,14,12,1,60,1,38
div,586,13156,520,179,11,1,61,1,39
div,586,13156,48,16,12,1,62,1,40
div,586,13156,520,15,12,1,63,1,41
div,586,13321,520,14,12,1,64,1,42
div,586,13371,520,179,11,1,65,1,43
div,586,13371,28,16,12,1,66,1,44
div,586,13371,520,15,12,1,67,1,45
div,586,13536,520,14,12,1,68,1,46
div,586,13586,520,227,11,1,69,1,47
div,586,13586,34,16,12,1,70,1,48
div,586,13586,520,15,12,1,71,1,49
div,586,13799,520,14,12,1,72,1,50
div,586,13849,520,155,11,1,73,1,51
div,586,13849,29,16,12,1,74,1,52
div,586,13849,520,15,12,1,75,1,53
div,586,13990,520,14,12,1,76,1,54
div,586,14040,520,107,11,1,77,1,55
div,586,14040,38,16,12,1,78,1,56
div,586,14040,520,15,12,1,79,1,57
div,586,14133,520,14,12,1,80,1,58
div,586,14183,520,173,11,1,81,1,59
div,586,14183,42,16,12,1,82,1,60
div,586,14183,520,15,12,1,83,1,61
div,586,14342,520,14,12,1,84,1,62
div,586,14392,520,83,11,1,85,1,63
div,586,14392,126,16,12,1,86,1,64
div,586,14392,520,15,12,1,87,1,65
div,586,14461,520,14,12,1,88,1,66
div,586,14511,520,203,11,1,89,1,67
div,586,14511,40,16,12,1,90,1,68
div,586,14511,520,15,12,1,91,1,69
div,586,14700,520,14,12,1,92,1,70
div,586,14750,520,197,11,1,93,1,71
div,586,14750,34,16,12,1,94,1,72
div,586,14750,520,15,12,1,95,1,73
div,586,14933,520,14,12,1,96,1,74
div,586,14983,520,131,11,1,97,1,75
div,586,14983,41,16,12,1,98,1,76
div,586,14983,520,15,12,1,99,1,77
div,586,15100,520,14,12,1,100,1,78
div,586,15150,520,83,11,1,101,1,79
div,586,15150,48,16,12,1,102,1,80
div,586,15150,520,15,12,1,103,1,81
div,586,15219,520,14,12,1,104,1,82
div,586,15269,520,227,11,1,105,1,83
div,586,15269,22,16,12,1,106,1,84
div,586,15269,520,15,12,1,107,1,85
div,586,15482,520,14,12,1,108,1,86
div,586,15532,520,83,11,1,109,1,87
div,586,15532,41,16,12,1,110,1,88
div,586,15532,520,15,12,1,111,1,89
div,586,15601,520,14,12,1,112,1,90
div,596,15651,520,203,11,1,113,1,91
div,596,15651,32,16,12,1,114,1,92
div,596,15651,520,15,12,1,115,1,93
div,596,15840,520,14,12,1,116,1,94
div,606,15890,500,216,13,1,117,1,95
div,606,15890,89,16,14,1,118,1,96
div,606,15890,500,15,14,1,119,1,97
div,606,16091,500,14,14,1,120,1,98
div,586,16141,520,155,11,1,121,1,99
div,586,16141,50,16,12,1,122,1,100
div,586,16141,520,15,12,1,123,1,101
div,586,16282,520,14,12,1,124,1,102
div,586,16332,520,155,11,1,125,1,103
div,586,16332,107,16,12,1,126,1,104
div,586,16332,520,15,12,1,127,1,105
div,586,16473,520,14,12,1,128,1,106
div,586,16523,520,107,11,1,129,1,107
div,586,16523,45,16,12,1,130,1,108
div,586,16523,520,15,12,1,131,1,109
div,586,16616,520,14,12,1,132,1,110
div,576,16642,540,658,9,1,133,1,111
div,1152,460,300,2358,5,1,134,1,112
div,1152,460,300,3572,7,1,135,1,113
div,1152,468,300,290,8,1,136,1,114
div,1152,496,300,250,9,1,137,1,115
div,1152,496,300,250,10,1,138,1,116
div,1152,758,300,178,8,1,139,1,117
