node_name,x,y,width,height,depth,has_text,id,k,object_id
body,0,0,1903,14557,1,1,1,1,1
div,452,0,1000,136,3,1,11,1,2
div,1230,14,62,36,8,1,15,1,3
div,1230,23,62,18,9,1,16,1,4
div,1230,23,61,18,10,1,17,1,5
div,452,59,1000,71,4,1,18,1,6
div,452,59,347,89,5,1,19,1,7
div,1403,91,11,34,7,1,22,1,8
div,1436,91,16,34,5,1,25,1,9
div,1436,91,16,34,6,1,26,1,10
div,1436,99,16,16,7,1,27,1,11
div,0,166,1903,120,2,1,33,1,12
div,452,166,1000,120,3,1,34,1,13
div,452,166,1000,120,4,1,35,1,14
div,452,166,1000,90,5,1,36,1,15
div,0,316,1903,14109,2,1,38,1,16
div,452,316,1000,14109,3,1,39,1,17
div,452,316,1000,144,4,1,40,1,18
div,452,411,1000,16,5,1,41,1,19
div,452,460,1000,13964,4,1,42,1,20
div,452,496,96,207,6,1,43,1,21
div,452,496,96,207,7,1,44,1,22
div,452,499,96,69,8,1,45,1,23
div,452,519,96,30,9,1,46,1,24
div,452,555,96,13,9,1,47,1,25
div,452,598,96,95,8,1,48,1,26
div,452,598,96,95,9,1,49,1,27
div,452,598,96,25,10,1,50,1,28
div,452,633,96,25,10,1,51,1,29
div,452,668,96,25,10,1,52,1,30
div,576,496,540,13928,6,1,53,1,31
div,576,496,540,9225,7,1,54,1,32
div,576,9745,540,3970,7,1,55,1,33
div,576,9781,540,3934,8,1,56,1,34
div,586,9805,520,83,11,1,57,1,35
div,586,9805,24,16,12,1,58,1,36
div,586,9805,520,15,12,1,59,1,37
div,586,9874,520,14,12,1,60,1,38
div,596,9924,520,383,11,1,61,1,39
div,596,9924,34,16,12,1,62,1,40
div,596,9924,520,15,12,1,63,1,41
div,596,10293,520,14,12,1,64,1,42
div,616,10343,500,311,13,1,65,1,43
div,616,10343,89,16,14,1,66,1,44
div,616,10343,500,15,14,1,67,1,45
div,616,10640,500,14,14,1,68,1,46
div,636,10690,480,173,15,1,69,1,47
div,636,10690,34,16,16,1,70,1,48
div,636,10690,480,15,16,1,71,1,49
div,636,10849,480,14,16,1,72,1,50
div,646,10899,460,785,17,1,73,1,51
div,646,10899,40,16,18,1,74,1,52
div,646,10899,460,15,18,1,75,1,53
div,646,11670,460,14,18,1,76,1,54
div,586,11720,520,107,11,1,77,1,55
div,586,11720,49,16,12,1,78,1,56
div,586,11720,520,15,12,1,79,1,57
div,586,11813,520,14,12,1,80,1,58
div,596,11863,520,155,11,1,81,1,59
div,596,11863,38,16,12,1,82,1,60
div,596,11863,520,15,12,1,83,1,61
div,596,12004,520,14,12,1,84,1,62
div,606,12054,500,107,13,1,85,1,63
div,606,12054,39,16,14,1,86,1,64
div,606,12054,500,15,14,1,87,1,65
div,606,12147,500,14,14,1,88,1,66
div,586,12197,520,311,11,1,89,1,67
div,586,12197,50,16,12,1,90,1,68
div,586,12197,520,15,12,1,91,1,69
div,586,12494,520,14,12,1,92,1,70
div,586,12544,520,275,11,1,93,1,71
div,586,12544,39,16,12,1,94,1,72
div,586,12544,520,15,12,1,95,1,73
div,586,12805,520,14,12,1,96,1,74
div,586,12855,520,107,11,1,97,1,75
div,586,12855,39,16,12,1,98,1,76
div,586,12855,520,15,12,1,99,1,77
div,586,12948,520,14,12,1,100,1,78
div,586,12998,520,173,11,1,101,1,79
div,586,12998,31,16,12,1,102,1,80
div,586,12998,520,15,12,1,103,1,81
div,586,13157,520,14,12,1,104,1,82
div,586,13207,520,293,11,1,105,1,83
div,586,13207,38,16,12,1,106,1,84
div,586,13207,520,15,12,1,107,1,85
div,586,13486,520,14,12,1,108,1,86
div,586,13536,520,179,11,1,109,1,87
div,586,13536,92,16,12,1,110,1,88
div,586,13536,520,15,12,1,111,1,89
div,586,13701,520,14,12,1,112,1,90
div,576,13727,540,658,9,1,113,1,91
div,1152,460,300,2472,5,1,114,1,92
div,1152,460,300,3572,7,1,115,1,93
div,1152,468,300,290,8,1,116,1,94
div,1152,496,300,250,9,1,117,1,95
div,1152,496,300,250,10,1,118,1,96
div,1152,758,300,178,8,1,119,1,97
div,1152,794,300,130,9,1,120,1,98
div,1152,794,300,130,11,1,121,1,99
div,1152,880,300,40,12,1,123,1,100
div,1152,936,300,497,8,1,124,1,101
div,1152,972,300,449,9,1,125,1,102
div,1152,1004,300,385,10,1,126,1,103
div,1152,1369,300,52,10,1,127,1,104
div,1247,1369,108,26,11,1,128,1,105
div,1152,1399,300,22,11,1,129,1,106
div,1152,1433,300,298,8,1,130,1,107
div,1152,1469,300,250,9,1,131,1,108
div,1152,1469,300,250,10,1,132,1,109
div,1152,1731,300,352,8,1,133,1,110
div,1152,1767,300,304,9,1,134,1,111
div,1152,1767,300,32,10,1,135,1,112
div,1152,1811,300,260,10,1,136,1,113
div,1152,1811,300,80,11,1,137,1,114
div,1152,1811,80,80,12,1,138,1,115
div,1248,1821,204,32,12,1,139,1,116
div,1248,1821,204,12,13,1,140,1,117
div,1248,1837,204,16,13,1,141,1,118
div,1152,1901,300,80,11,1,142,1,119
div,1152,1901,80,80,12,1,143,1,120
div,1248,1911,204,49,12,1,144,1,121
div,1248,1911,204,12,13,1,145,1,122
div,1248,1927,204,33,13,1,146,1,123
div,1152,1991,300,80,11,1,147,1,124
div,1152,1991,80,80,12,1,148,1,125
div,1248,2001,204,32,12,1,149,1,126
div,1248,2001,204,12,13,1,150,1,127
div,1248,2017,204,16,13,1,151,1,128
div,1152,2083,300,496,8,1,152,1,129
div,1152,2119,300,100,9,1,153,1,130
div,1152,2119,300,100,10,1,154,1,131
div,1152,2235,300,100,9,1,155,1,132
div,1152,2235,300,100,10,1,156,1,133
div,1152,2351,300,100,9,1,157,1,134
div,1152,2351,300,100,10,1,158,1,135
div,1152,2467,300,100,9,1,159,1,136
div,1152,2467,300,100,10,1,160,1,137
div,1152,2579,300,433,8,1,161,1,138
div,1152,2615,300,385,9,1,162,1,139
div,1152,2647,300,300,10,1,163,1,140
div,1152,2927,300,73,10,1,164,1,141
div,1253,2927,96,26,11,1,165,1,142
div,1152,2957,300,43,11,1,166,1,143
div,1152,3012,300,648,8,1,167,1,144
div,1152,3048,300,600,9,1,168,1,145
div,1152,3048,300,600,10,1,169,1,146
div,1152,3660,300,372,8,1,170,1,147
div,1152,3696,300,304,9,1,171,1,148
div,1152,3696,300,32,10,1,172,1,149
div,1152,3740,300,260,10,1,173,1,150
div,1152,3740,300,80,11,1,174,1,151
div,1152,3740,80,80,12,1,175,1,152
