node_name,x,y,width,height,depth,has_text,id,k,object_id
body,0,0,1903,10184,1,1,1,1,1
div,452,0,1000,136,3,1,11,1,2
div,1230,14,62,36,8,1,15,1,3
div,1230,23,62,18,9,1,16,1,4
div,1230,23,61,18,10,1,17,1,5
div,452,59,1000,71,4,1,18,1,6
div,452,59,347,89,5,1,19,1,7
div,1403,91,11,34,7,1,22,1,8
div,1436,91,16,34,5,1,25,1,9
div,1436,91,16,34,6,1,26,1,10
div,1436,99,16,16,7,1,27,1,11
div,0,166,1903,120,2,1,33,1,12
div,452,166,1000,120,3,1,34,1,13
div,452,166,1000,120,4,1,35,1,14
div,452,166,1000,90,5,1,36,1,15
div,0,316,1903,9736,2,1,38,1,16
div,452,316,1000,9736,3,1,39,1,17
div,452,316,1000,184,4,1,40,1,18
div,452,451,1000,16,5,1,41,1,19
div,452,500,1000,9552,4,1,42,1,20
div,452,536,96,192,6,1,43,1,21
div,452,536,96,192,7,1,44,1,22
div,452,539,96,54,8,1,45,1,23
div,452,559,96,15,9,1,46,1,24
div,452,580,96,13,9,1,47,1,25
div,452,623,96,95,8,1,48,1,26
div,452,623,96,95,9,1,49,1,27
div,452,623,96,25,10,1,50,1,28
div,452,658,96,25,10,1,51,1,29
div,452,693,96,25,10,1,52,1,30
div,576,536,540,9516,6,1,53,1,31
div,576,536,540,6011,7,1,54,1,32
div,576,6570,540,2772,7,1,55,1,33
div,576,6606,540,2736,8,1,56,1,34
div,586,6630,520,131,11,1,57,1,35
div,586,6630,54,16,12,1,58,1,36
div,586,6630,520,15,12,1,59,1,37
div,586,6747,520,14,12,1,60,1,38
div,586,6797,520,173,11,1,61,1,39
div,586,6797,37,16,12,1,62,1,40
div,586,6797,520,15,12,1,63,1,41
div,586,6956,520,14,12,1,64,1,42
div,586,7006,520,83,11,1,65,1,43
div,586,7006,29,16,12,1,66,1,44
div,586,7006,520,15,12,1,67,1,45
div,586,7075,520,14,12,1,68,1,46
div,586,7125,520,107,11,1,69,1,47
div,586,7125,40,16,12,1,70,1,48
div,586,7125,520,15,12,1,71,1,49
div,586,7218,520,14,12,1,72,1,50
div,586,7268,520,107,11,1,73,1,51
div,586,7268,39,16,12,1,74,1,52
div,586,7268,520,15,12,1,75,1,53
div,586,7361,520,14,12,1,76,1,54
div,586,7411,520,179,11,1,77,1,55
div,586,7411,129,16,12,1,78,1,56
div,586,7411,520,15,12,1,79,1,57
div,586,7576,520,14,12,1,80,1,58
div,586,7626,520,107,11,1,81,1,59
div,586,7626,36,16,12,1,82,1,60
div,586,7626,520,15,12,1,83,1,61
div,586,7719,520,14,12,1,84,1,62
div,586,7769,520,83,11,1,85,1,63
div,586,7769,48,16,12,1,86,1,64
div,586,7769,520,15,12,1,87,1,65
div,586,7838,520,14,12,1,88,1,66
div,586,7888,520,83,11,1,89,1,67
div,586,7888,106,16,12,1,90,1,68
div,586,7888,520,15,12,1,91,1,69
div,586,7957,520,14,12,1,92,1,70
div,586,8007,520,131,11,1,93,1,71
div,586,8007,41,16,12,1,94,1,72
div,586,8007,520,15,12,1,95,1,73
div,586,8124,520,14,12,1,96,1,74
div,586,8174,520,107,11,1,97,1,75
div,586,8174,49,16,12,1,98,1,76
div,586,8174,520,15,12,1,99,1,77
div,586,8267,520,14,12,1,100,1,78
div,586,8317,520,83,11,1,101,1,79
div,586,8317,152,16,12,1,102,1,80
div,586,8317,520,15,12,1,103,1,81
div,586,8386,520,14,12,1,104,1,82
div,596,8436,520,131,11,1,105,1,83
div,596,8436,54,16,12,1,106,1,84
div,596,8436,520,15,12,1,107,1,85
div,596,8553,520,14,12,1,108,1,86
div,606,8603,500,167,13,1,109,1,87
div,606,8603,89,16,14,1,110,1,88
div,606,8603,500,15,14,1,111,1,89
div,606,8756,500,14,14,1,112,1,90
div,586,8806,520,83,11,1,113,1,91
div,586,8806,36,16,12,1,114,1,92
div,586,8806,520,15,12,1,115,1,93
div,586,8875,520,14,12,1,116,1,94
div,586,8925,520,131,11,1,117,1,95
div,586,8925,38,16,12,1,118,1,96
div,586,8925,520,15,12,1,119,1,97
div,586,9042,520,14,12,1,120,1,98
div,586,9092,520,107,11,1,121,1,99
div,586,9092,48,16,12,1,122,1,100
div,586,9092,520,15,12,1,123,1,101
div,586,9185,520,14,12,1,124,1,102
div,586,9235,520,107,11,1,125,1,103
div,586,9235,68,16,12,1,126,1,104
div,586,9235,520,15,12,1,127,1,105
div,586,9328,520,14,12,1,128,1,106
div,576,9354,540,658,9,1,129,1,107
div,1152,500,300,2472,5,1,130,1,108
div,1152,500,300,3922,7,1,131,1,109
div,1152,508,300,640,8,1,132,1,110
div,1152,536,300,600,9,1,133,1,111
div,1152,536,300,600,10,1,134,1,112
div,1152,1148,300,178,8,1,135,1,113
div,1152,1184,300,130,9,1,136,1,114
div,1152,1184,300,130,11,1,137,1,115
div,1152,1270,300,40,12,1,139,1,116
div,1152,1325,300,497,8,1,140,1,117
div,1152,1361,300,449,9,1,141,1,118
div,1152,1393,300,385,10,1,142,1,119
div,1152,1759,300,52,10,1,143,1,120
div,1247,1759,108,26,11,1,144,1,121
div,1152,1789,300,22,11,1,145,1,122
div,1152,1822,300,298,8,1,146,1,123
div,1152,1858,300,250,9,1,147,1,124
div,1152,1858,300,250,10,1,148,1,125
div,1152,2120,300,352,8,1,149,1,126
div,1152,2156,300,304,9,1,150,1,127
div,1152,2156,300,32,10,1,151,1,128
div,1152,2200,300,260,10,1,152,1,129
div,1152,2200,300,80,11,1,153,1,130
div,1152,2200,80,80,12,1,154,1,131
div,1248,2210,204,32,12,1,155,1,132
div,1248,2210,204,12,13,1,156,1,133
div,1248,2226,204,16,13,1,157,1,134
div,1152,2290,300,80,11,1,158,1,135
div,1152,2290,80,80,12,1,159,1,136
div,1248,2300,204,49,12,1,160,1,137
div,1248,2300,204,12,13,1,161,1,138
div,1248,2316,204,33,13,1,162,1,139
div,1152,2380,300,80,11,1,163,1,140
div,1152,2380,80,80,12,1,164,1,141
div,1248,2390,204,32,12,1,165,1,142
div,1248,2390,204,12,13,1,166,1,143
div,1248,2406,204,16,13,1,167,1,144
div,1152,2472,300,496,8,1,168,1,145
div,1152,2508,300,100,9,1,169,1,146
div,1152,2508,300,100,10,1,170,1,147
div,1152,2624,300,100,9,1,171,1,148
div,1152,2624,300,100,10,1,172,1,149
div,1152,2740,300,100,9,1,173,1,150
div,1152,2740,300,100,10,1,174,1,151
div,1152,2856,300,100,9,1,175,1,152
div,1152,2856,300,100,10,1,176,1,153
div,1152,2968,300,433,8,1,177,1,154
div,1152,3004,300,385,9,1,178,1,155
div,1152,3036,300,300,10,1,179,1,156
div,1152,3316,300,73,10,1,180,1,157
div,1253,3316,96,26,11,1,181,1,158
div,1152,3346,300,43,11,1,182,1,159
div,1152,3401,300,648,8,1,183,1,160
div,1152,3437,300,600,9,1,184,1,161
div,1152,3437,300,600,10,1,185,1,162
div,1152,4049,300,372,8,1,186,1,163
div,1152,4085,300,304,9,1,187,1,164
div,1152,4085,300,32,10,1,188,1,165
div,1152,4129,300,260,10,1,189,1,166
div,1152,4129,300,80,11,1,190,1,167
div,1152,4129,80,80,12,1,191,1,168
div,1248,4139,204,49,12,1,192,1,169
div,1248,4139,204,12,13,1,193,1,170
div,1248,4155,204,33,13,1,194,1,171
div,1152,4219,300,80,11,1,195,1,172
div,1152,4219,80,80,12,1,196,1,173
div,1248,4229,204,65,12,1,197,1,174
div,1248,4229,204,12,13,1,198,1,175
div,1248,4245,204,49,13,1,199,1,176
div,1152,4309,300,80,11,1,200,1,177
div,1152,4309,80,80,12,1,201,1,178
div,1248,4319,204,32,12,1,202,1,179
div,1248,4319,204,12,13,1,203,1,180
div,1248,4335,204,16,13,1,204,1,181
div,452,10052,1000,63,2,1,205,1,182
div,452,10068,1000,34,3,1,206,1,183
div,452,10068,1000,34,4,1,207,1,184
div,0,10115,1903,54,2,1,209,1,185
a,1423,14,29,34,11,0,16,1,186
a,1387,14,29,34,11,0,17,1,187
a,1351,14,29,34,11,0,18,1,188
a,1315,14,29,34,11,0,19,1,189
a,1264,24,23,16,12,0,20,1,190
a,452,59,347,89,6,0,21,1,191
a,824,101,65,19,7,0,22,1,192
a,906,101,21,19,7,0,23,1,193
a,945,101,88,19,7,0,26,1,194
a,1051,101,45,19,7,0,27,1,195
a,1114,101,104,19,7,0,28,1,196
a,1236,101,73,19,7,0,29,1,197
a,937,449,29,20,6,0,41,1,198
a,467,557,53,19,10,0,42,1,199
a,452,623,96,25,11,0,43,1,200
a,452,658,96,25,11,0,44,1,201
a,452,693,96,25,11,0,45,1,202
a,625,1281,74,21,9,0,46,1,203
a,576,1937,118,21,9,0,47,1,204
a,576,2509,108,20,10,0,48,1,205
a,576,3100,80,21,9,0,49,1,206
a,576,3709,53,20,10,0,50,1,207
a,576,4232,53,20,10,0,51,1,208
a,576,4783,138,21,9,0,52,1,209
