node_name,x,y,width,height,depth,has_text,id,k,object_id
manual,452,200,1000,120,10,0,1,1,1
manual,452,0,1000,136,10,0,1,1,2
manual,452,166,1000,90,10,0,1,1,15
manual,452,451,1000,16,10,0,1,1,19
manual,452,539,96,69,10,0,1,1,23
manual,452,559,96,30,10,0,1,1,24
manual,452,595,96,13,10,0,1,1,25
manual,452,638,96,95,10,0,1,1,26
manual,452,638,96,95,10,0,1,1,27
manual,452,638,96,25,10,0,1,1,28
manual,452,673,96,25,10,0,1,1,29
manual,452,708,96,25,10,0,1,1,30
manual,576,10507,540,1401,10,0,1,1,33
manual,1152,536,300,250,10,0,1,1,75
manual,1152,920,300,40,10,0,1,1,80
manual,1152,1011,300,449,10,0,1,1,82
manual,1152,1508,300,250,10,0,1,1,88
manual,1152,1806,300,304,10,0,1,1,91
manual,1152,2158,300,100,10,0,1,1,110
manual,1152,2274,300,100,10,0,1,1,112
manual,1152,2390,300,100,10,0,1,1,114
manual,1152,2506,300,100,10,0,1,1,116
manual,1152,2654,300,385,10,0,1,1,119
manual,1152,2966,300,73,10,0,1,1,121
manual,1152,3735,300,32,10,0,1,1,129
manual,576,1311,192,21,10,0,1,1,171
manual,667,1335,66,21,10,0,1,1,172
manual,635,2260,130,21,10,0,1,1,173
manual,576,2908,488,45,10,0,1,1,174
manual,750,3605,162,21,10,0,1,1,175
manual,677,4253,52,21,10,0,1,1,176
manual,1031,4253,71,21,10,0,1,1,177
manual,576,4901,528,45,10,0,1,1,178
manual,840,4925,103,21,10,0,1,1,179
manual,576,5688,511,46,10,0,1,1,180
manual,723,6336,59,21,10,0,1,1,181
manual,802,7033,33,21,10,0,1,1,182
manual,1037,7058,51,21,10,0,1,1,183
manual,724,7893,130,21,10,0,1,1,184
manual,746,9213,76,21,10,0,1,1,185
manual,576,9958,513,45,10,0,1,1,186
manual,880,10006,92,21,10,0,1,1,187
manual,1153,1439,297,21,10,0,1,1,216
manual,576,10155,540,98,10,0,1,1,263
manual,576,10264,540,78,10,0,1,1,264
manual,576,10354,540,59,10,0,1,1,265
manual,576,10425,540,59,10,0,1,1,266
manual,1152,871,300,39,10,0,1,1,298
manual,576,536,540,540,10,0,1,1,302
manual,576,2973,540,540,10,0,1,1,305
manual,576,3669,540,540,10,0,1,1,306
manual,576,4342,540,540,10,0,1,1,307
manual,576,5038,540,540,10,0,1,1,308
manual,576,5777,540,540,10,0,1,1,309
manual,576,6474,540,540,10,0,1,1,310
manual,576,7170,540,540,10,0,1,1,311
manual,576,7933,540,540,10,0,1,1,312
manual,576,8605,540,540,10,0,1,1,313
manual,576,9350,540,540,10,0,1,1,314
manual,1152,1043,300,385,10,0,1,1,315
manual,1152,2686,300,300,10,0,1,1,319
manual,576,2213,38,20,10,0,1,1,374
manual,576,3533,54,20,10,0,1,1,375
manual,576,4230,46,20,10,0,1,1,376
manual,576,5598,46,20,10,0,1,1,377
manual,576,5689,66,20,10,0,1,1,378
manual,576,6337,40,20,10,0,1,1,379
manual,576,7034,60,20,10,0,1,1,380
manual,576,7731,64,20,10,0,1,1,381
manual,576,7869,40,20,10,0,1,1,382
manual,576,9166,40,20,10,0,1,1,383
manual,576,9910,40,20,10,0,1,1,384
manual,576,10115,182,20,10,0,1,1,385
