node_name,x,y,width,height,depth,has_text,id,k,object_id
manual,0,0,930,20,10,0,1,1,1
manual,0,20,930,100,10,0,1,1,2
manual,0,213,930,50,10,0,1,1,3
manual,0,269,930,50,10,0,1,1,4
manual,320,500,400,730,10,0,1,1,5
manual,10,1240,730,400,10,0,1,1,6
manual,10,146,930,26,10,0,1,1,13
manual,245,179,82,13,10,0,1,1,17
manual,180,179,65,20,10,0,1,1,18
manual,121,179,52,13,10,0,1,1,19
manual,716,176,21,21,10,0,1,1,21
manual,10,213,930,1947,10,0,1,1,22
manual,10,213,710,1892,10,0,1,1,24
manual,10,248,710,86,10,0,1,1,25
manual,564,349,156,20,10,0,1,1,30
manual,15,378,97,32,10,0,1,1,32
manual,120,378,69,32,10,0,1,1,33
manual,629,378,86,43,10,0,1,1,35
manual,741,240,198,448,10,0,1,1,70
manual,740,709,200,820,10,0,1,1,89
manual,342,176,371,22,10,0,1,1,111
manual,10,119,35,27,10,0,1,1,193
manual,45,121,110,24,10,0,1,1,194
manual,157,121,110,24,10,0,1,1,195
manual,269,121,110,24,10,0,1,1,196
manual,381,121,110,24,10,0,1,1,197
manual,494,121,110,24,10,0,1,1,198
manual,606,121,110,24,10,0,1,1,199
manual,718,121,110,24,10,0,1,1,200
manual,830,121,110,24,10,0,1,1,201
manual,17,179,93,15,10,0,1,1,214
manual,23,791,60,15,10,0,1,1,219
manual,23,824,144,15,10,0,1,1,220
manual,23,857,129,15,10,0,1,1,221
manual,23,939,256,31,10,0,1,1,223
manual,21,1892,219,146,10,0,1,1,227
manual,25,2043,164,30,10,0,1,1,228
manual,250,1892,219,146,10,0,1,1,229
manual,254,2043,192,30,10,0,1,1,230
manual,479,1892,219,146,10,0,1,1,231
manual,21,1861,253,15,10,0,1,1,284
manual,16,448,290,252,10,0,1,1,302
manual,10,293,710,41,10,0,1,1,314
manual,10,1085,129,35,10,0,1,1,317
