node_name,x,y,width,height,depth,has_text,id,k,object_id
manual,440,190,690,180,10,0,1,1,1
manual,440,380,690,450,10,0,1,1,2
manual,440,830,690,80,10,0,1,1,3
manual,440,940,690,170,10,0,1,1,4
manual,440,1110,690,170,10,0,1,1,5
manual,440,1280,690,170,10,0,1,1,6
manual,1487,0,22,93,10,0,1,1,15
manual,1541,1,353,93,10,0,1,1,17
manual,0,92,1903,1,10,0,1,1,57
manual,457,1487,674,76,10,0,1,1,117
manual,461,1587,666,781,10,0,1,1,119
manual,461,1952,666,416,10,0,1,1,128
manual,1152,256,300,28,10,0,1,1,188
manual,817,1,270,92,10,0,1,1,245
manual,1227,1482,208,29,10,0,1,1,703
manual,1161,1649,50,15,10,0,1,1,704
manual,1227,1598,194,29,10,0,1,1,705
manual,1161,1765,50,15,10,0,1,1,706
manual,1227,1713,210,29,10,0,1,1,707
manual,1161,1880,50,15,10,0,1,1,708
manual,1227,1829,215,29,10,0,1,1,709
manual,1306,1907,137,15,10,0,1,1,710
manual,457,896,175,27,10,0,1,1,782
manual,1161,1496,50,50,10,0,1,1,974
manual,1161,1554,1,1,10,0,1,1,975
manual,1161,1561,50,50,10,0,1,1,976
manual,1161,1611,50,50,10,0,1,1,977
manual,1161,1670,1,1,10,0,1,1,978
manual,1161,1677,50,50,10,0,1,1,979
manual,1161,1727,50,50,10,0,1,1,980
manual,1161,1785,1,1,10,0,1,1,981
manual,1161,1792,50,50,10,0,1,1,982
manual,1161,1842,50,50,10,0,1,1,983
manual,1153,2303,298,205,10,0,1,1,1504
manual,1153,2239,298,59,10,0,1,1,1824
manual,1152,1086,300,250,10,0,1,1,1836
