node_name,x,y,width,height,depth,has_text,id,k,object_id
manual,500,300,560,380,10,0,1,1,1
manual,1160,290,1450,900,10,0,1,1,2
manual,467,0,970,90,10,0,1,1,3
manual,452,90,1000,140,10,0,1,1,5
manual,452,190,1000,20,10,0,1,1,8
manual,507,844,582,22,10,0,1,1,27
manual,507,886,582,400,10,0,1,1,28
manual,517,1402,456,481,10,0,1,1,36
manual,972,1402,419,309,10,0,1,1,42
manual,483,343,54,20,10,0,1,1,63
manual,558,343,37,20,10,0,1,1,64
manual,618,343,171,20,10,0,1,1,65
manual,811,343,193,20,10,0,1,1,66
manual,529,946,218,20,10,0,1,1,67
manual,517,1479,420,101,10,0,1,1,75
manual,517,1580,420,101,10,0,1,1,76
manual,517,1681,420,101,10,0,1,1,77
manual,517,1782,420,101,10,0,1,1,78
manual,588,1913,728,90,10,0,1,1,102
manual,702,230,249,34,10,0,1,1,119
manual,951,230,1,34,10,0,1,1,120
manual,952,230,249,34,10,0,1,1,121
manual,492,386,975,15,10,0,1,1,134
