node_name,x,y,width,height,depth,has_text,id,k,object_id
manual,470,390,620,420,10,0,1,1,1
manual,482,1220,620,187,10,0,1,1,2
manual,482,1820,620,187,10,0,1,1,3
manual,482,2420,620,187,10,0,1,1,4
manual,482,3020,620,187,10,0,1,1,5
manual,482,3620,620,187,10,0,1,1,6
manual,1122,1310,300,90,10,0,1,1,7
manual,482,4820,620,187,10,0,1,1,8
manual,482,5420,620,187,10,0,1,1,9
manual,482,6020,620,187,10,0,1,1,10
manual,482,6620,620,187,10,0,1,1,11
manual,1120,1950,300,430,10,0,1,1,12
manual,482,4220,620,187,10,0,1,1,13
manual,472,10,960,90,10,0,1,1,20
manual,472,115,960,99,10,0,1,1,23
manual,952,142,93,62,10,0,1,1,24
manual,482,252,620,31,10,0,1,1,33
manual,482,303,620,39,10,0,1,1,37
manual,482,7281,620,14,10,0,1,1,51
manual,482,7445,620,30,10,0,1,1,54
manual,482,7495,620,313,10,0,1,1,55
manual,482,7858,620,333,10,0,1,1,64
manual,1122,303,300,1099,10,0,1,1,70
manual,1122,571,300,16,10,0,1,1,73
manual,1122,1183,300,16,10,0,1,1,76
manual,1122,1432,300,205,10,0,1,1,81
manual,1122,1667,300,379,10,0,1,1,84
manual,1122,2157,300,390,10,0,1,1,97
manual,1122,3056,300,53,10,0,1,1,108
manual,1122,4062,300,40,10,0,1,1,125
manual,1122,4102,300,104,10,0,1,1,126
manual,921,142,124,62,10,0,1,1,150
manual,511,223,105,35,10,0,1,1,164
manual,646,223,77,23,10,0,1,1,165
manual,754,223,49,23,10,0,1,1,166
manual,833,223,97,23,10,0,1,1,167
manual,961,223,87,23,10,0,1,1,168
manual,1079,223,85,23,10,0,1,1,169
manual,1195,223,68,23,10,0,1,1,170
manual,494,8105,276,17,10,0,1,1,198
manual,587,8137,90,17,10,0,1,1,199
manual,802,7858,300,168,10,0,1,1,200
manual,885,8048,143,64,10,0,1,1,201
manual,811,8127,282,33,10,0,1,1,202
manual,909,8174,85,17,10,0,1,1,203
manual,1122,1285,300,16,10,0,1,1,204
manual,1205,1673,132,34,10,0,1,1,206
manual,1177,2581,189,34,10,0,1,1,222
manual,1229,3062,85,34,10,0,1,1,227
manual,482,7550,620,223,10,0,1,1,318
manual,802,976,300,33,10,0,1,1,348
manual,802,1008,300,33,10,0,1,1,349
manual,802,1041,300,33,10,0,1,1,350
manual,482,372,620,36,10,0,1,1,478
manual,482,411,620,36,10,0,1,1,479
manual,802,933,300,43,10,0,1,1,482
manual,482,925,620,140,10,0,1,1,483
manual,482,1085,620,80,10,0,1,1,484
manual,482,1185,620,40,10,0,1,1,485
manual,1122,1445,300,20,10,0,1,1,534
manual,1122,1680,300,20,10,0,1,1,535
manual,1122,2089,160,45,10,0,1,1,537
manual,1292,2089,130,45,10,0,1,1,538
manual,1222,2350,165,32,10,0,1,1,539
manual,1122,3069,300,20,10,0,1,1,543
manual,1122,3614,300,24,10,0,1,1,545
manual,1122,4082,300,20,10,0,1,1,550
manual,482,1407,620,413,10,0,1,1,620
manual,482,2007,620,413,10,0,1,1,621
manual,482,2607,620,413,10,0,1,1,622
manual,482,3207,620,413,10,0,1,1,623
manual,482,3806,620,413,10,0,1,1,624
manual,482,4406,620,413,10,0,1,1,625
manual,482,5006,620,413,10,0,1,1,626
manual,482,5606,620,413,10,0,1,1,627
manual,482,6206,620,413,10,0,1,1,628
manual,482,6806,620,413,10,0,1,1,629
manual,1122,1485,340,150,10,0,1,1,633
