node_name,x,y,width,height,depth,has_text,id,k,object_id
manual,467,0,970,90,10,0,1,1,5
manual,0,105,1903,25,10,0,1,1,7
manual,0,130,1903,48,10,0,1,1,8
manual,682,198,540,144,10,0,1,1,13
manual,501,384,544,360,10,0,1,1,17
manual,501,754,544,23,10,0,1,1,18
manual,501,886,544,24,10,0,1,1,19
manual,501,930,544,2905,10,0,1,1,20
manual,501,1189,544,70,10,0,1,1,26
manual,501,3836,544,179,10,0,1,1,31
manual,501,4075,544,93,10,0,1,1,35
manual,1162,384,330,600,10,0,1,1,42
manual,1162,1116,301,63,10,0,1,1,49
manual,1162,1189,301,35,10,0,1,1,50
manual,1162,1234,301,35,10,0,1,1,51
manual,1162,1368,330,386,10,0,1,1,53
manual,427,5600,1050,1786,10,0,1,1,71
manual,501,1259,544,72,10,0,1,1,196
manual,501,1259,544,72,10,0,1,1,196
manual,501,1473,544,144,10,0,1,1,198
manual,501,1693,544,72,10,0,1,1,199
manual,501,1945,544,144,10,0,1,1,201
manual,501,2165,544,144,10,0,1,1,202
manual,501,2327,544,192,10,0,1,1,203
manual,501,2595,544,144,10,0,1,1,204
manual,501,2847,544,168,10,0,1,1,206
manual,501,3205,544,168,10,0,1,1,208
manual,501,3391,544,48,10,0,1,1,209
manual,501,3515,544,120,10,0,1,1,210
manual,501,3653,544,96,10,0,1,1,211
manual,1162,1049,301,220,10,0,1,1,214
manual,501,782,544,74,10,0,1,1,220
manual,501,4496,484,60,10,0,1,1,225
manual,501,4816,518,60,10,0,1,1,227
manual,1283,198,189,113,10,0,1,1,245
manual,501,1635,544,40,10,0,1,1,318
manual,501,2107,544,40,10,0,1,1,319
manual,501,2537,544,40,10,0,1,1,320
manual,501,3033,544,40,10,0,1,1,321
manual,501,3457,544,40,10,0,1,1,322
manual,412,246,270,69,10,0,1,1,336
manual,501,1391,544,64,10,0,1,1,337
manual,501,1499,477,44,10,0,1,1,357
manual,501,2191,539,68,10,0,1,1,361
manual,501,2353,542,92,10,0,1,1,362
manual,501,2921,533,68,10,0,1,1,364
manual,501,3141,542,44,10,0,1,1,365
manual,501,3279,531,92,10,0,1,1,366
manual,501,3541,374,20,10,0,1,1,367
