node_name,x,y,width,height,depth,has_text,id,k,object_id
img,624,316,162,201,10,0,1,1,1
img,454,119,159,52,10,1,1,1,2
img,453,210,1001,42,10,1,1,1,3
img,455,5,730,91,10,1,1,1,4
baboons,619,993,314,29,10,1,1,1,5
membranes,619,894,345,27,10,1,1,1,6
protection,619,794,287,27,10,1,1,1,7
img,619,696,229,24,10,1,1,1,8
img,619,592,102,27,10,1,1,1,9
img,611,169,62,36,10,1,1,1,10
img,673,169,149,36,10,1,1,1,11
img,823,169,79,36,10,1,1,1,12
img,900,169,101,36,10,1,1,1,13
collections,1001,169,112,36,10,1,1,1,14
img,1045,575,66,66,10,1,1,1,15
img,1045,700,66,66,10,1,1,1,16
img,1045,811,66,66,10,1,1,1,17
img,1045,936,66,66,10,1,1,1,18
img,1045,1094,66,66,10,1,1,1,19
img,454,171,159,34,10,1,1,1,20
img,452,510,147,26,10,1,1,1,21
img,453,751,146,25,10,1,1,1,22
img,453,848,145,40,10,1,1,1,23
img,452,960,146,26,10,1,1,1,24
img,453,1154,146,24,10,1,1,1,25
img,453,1227,632,60,10,1,1,1,26
img,1305,1237,121,42,10,1,1,1,27
img,1162,1240,100,32,10,1,1,1,28
img,452,1297,147,33,10,1,1,1,29
img,452,1333,149,16,10,1,1,1,30
img,452,1352,117,38,10,1,1,1,31
img,455,1396,137,36,10,1,1,1,32
img,455,1435,136,19,10,1,1,1,33
img,454,1457,138,30,10,1,1,1,34
img,1042,1483,230,20,10,1,1,1,35
img,622,1498,412,21,10,1,1,1,36
img,1043,1682,230,20,10,1,1,1,37
