node_name,x,y,width,height,depth,has_text,id,k,object_id
manual,349,35,1225,56,10,0,1,1,8
manual,339,136,1225,43,10,0,1,1,14
manual,1237,725,327,152,10,0,1,1,28
manual,339,219,233,247,10,0,1,1,32
manual,349,1819,486,160,10,0,1,1,36
manual,349,2005,1215,69,10,0,1,1,38
manual,658,108,66,28,10,0,1,1,49
manual,724,108,89,28,10,0,1,1,50
manual,813,108,152,28,10,0,1,1,51
manual,965,108,172,28,10,0,1,1,52
manual,1137,108,98,28,10,0,1,1,53
manual,1235,108,104,28,10,0,1,1,54
manual,1339,108,83,28,10,0,1,1,55
manual,1421,108,143,28,10,0,1,1,56
manual,872,1834,144,130,10,0,1,1,90
manual,599,304,900,346,10,0,1,1,128
manual,599,219,950,40,10,0,1,1,137
manual,600,734,560,47,10,0,1,1,165
manual,600,781,452,40,10,0,1,1,166
manual,1052,781,108,40,10,0,1,1,167
manual,600,820,452,40,10,0,1,1,168
manual,1052,820,108,40,10,0,1,1,169
manual,600,860,452,40,10,0,1,1,170
manual,1052,860,108,40,10,0,1,1,171
manual,600,900,452,40,10,0,1,1,172
manual,1052,900,108,40,10,0,1,1,173
manual,600,940,452,40,10,0,1,1,174
manual,1052,940,108,40,10,0,1,1,175
manual,600,980,452,40,10,0,1,1,176
manual,1052,980,108,40,10,0,1,1,177
manual,600,1020,452,40,10,0,1,1,178
manual,1052,1020,108,40,10,0,1,1,179
manual,600,1060,452,40,10,0,1,1,180
manual,1052,1060,108,40,10,0,1,1,181
manual,600,1099,452,40,10,0,1,1,182
manual,1052,1099,108,40,10,0,1,1,183
manual,600,1139,452,40,10,0,1,1,184
manual,1052,1139,108,40,10,0,1,1,185
manual,600,1188,560,47,10,0,1,1,186
manual,600,1235,366,40,10,0,1,1,187
manual,966,1235,91,40,10,0,1,1,188
manual,1057,1235,103,40,10,0,1,1,189
manual,600,1275,366,40,10,0,1,1,190
manual,966,1275,91,40,10,0,1,1,191
manual,1057,1275,103,40,10,0,1,1,192
manual,600,1315,366,40,10,0,1,1,193
manual,966,1315,91,40,10,0,1,1,194
manual,1057,1315,103,40,10,0,1,1,195
manual,600,1355,366,40,10,0,1,1,196
manual,966,1355,91,40,10,0,1,1,197
manual,1057,1355,103,40,10,0,1,1,198
manual,600,1394,366,40,10,0,1,1,199
manual,966,1394,91,40,10,0,1,1,200
manual,1057,1394,103,40,10,0,1,1,201
manual,600,1434,366,40,10,0,1,1,202
manual,966,1434,91,40,10,0,1,1,203
manual,1057,1434,103,40,10,0,1,1,204
manual,600,1474,366,40,10,0,1,1,205
manual,966,1474,91,40,10,0,1,1,206
manual,1057,1474,103,40,10,0,1,1,207
manual,600,1514,366,40,10,0,1,1,208
manual,966,1514,91,40,10,0,1,1,209
manual,1057,1514,103,40,10,0,1,1,210
manual,600,1554,366,63,10,0,1,1,211
manual,966,1554,91,63,10,0,1,1,212
manual,1057,1554,103,63,10,0,1,1,213
manual,600,1616,366,40,10,0,1,1,214
manual,966,1616,91,40,10,0,1,1,215
manual,1057,1616,103,40,10,0,1,1,216
