node_name,x,y,width,height,depth,has_text,id,k,object_id
manual,1,1,1899,95,10,0,1,1,2
manual,1,109,1899,111,10,0,1,1,6
manual,478,249,263,35,10,0,1,1,10
manual,1116,292,303,437,10,0,1,1,12
manual,480,294,510,197,10,0,1,1,15
manual,486,517,578,491,10,0,1,1,20
manual,577,1110,494,240,10,0,1,1,24
manual,777,1354,305,703,10,0,1,1,50
manual,481,1407,251,573,10,0,1,1,140
manual,583,2095,478,227,10,0,1,1,141
manual,580,2331,494,419,10,0,1,1,290
manual,580,2764,488,425,10,0,1,1,384
manual,582,3202,492,482,10,0,1,1,388
manual,582,3807,492,141,10,0,1,1,392
manual,579,3963,494,320,10,0,1,1,397
manual,577,4291,490,310,10,0,1,1,402
manual,580,4636,494,65,10,0,1,1,406
manual,472,4744,943,83,10,0,1,1,410
manual,474,4831,303,388,10,0,1,1,449
manual,784,4836,310,383,10,0,1,1,449
manual,1102,4837,314,382,10,0,1,1,455
manual,531,5304,122,32,10,0,1,1,592
manual,480,5413,938,503,10,0,1,1,598
manual,480,5926,627,1204,10,0,1,1,600
manual,1117,5928,301,1205,10,0,1,1,601
manual,789,7167,537,291,10,0,1,1,602
manual,484,7630,938,143,10,0,1,1,603
